很多视频网站上都可以看到观众发送的弹幕′这里的弹读作?	d盏n
机器猫 哆啦A梦J 最喜欢吃的食擎是?	铜锣烧
Eli! 哈尔的移动城堡 的创作者是?	宫崎骏
祝你平安 哦祝你平安 祝你平安 的原唱是我国内地哪位女歌手?	孙悦
古诗 登鹳雀楼 的作者是了	王之涣
著名 的埃菲尔铁塔位于以下哪个国家?	法国
演唱过 看我七十二变 等歌曲的女歌手是谁?	蔡依林
苹果公司的创始人是7	史蒂夫乔布斯
现代军队通常没有的军种是?	宇宙军
在龚琳娜的经典歌曲屯 哪个人不性爱 雷峰塔会掉下来?	如来
周星驰电影 逃学威龙 第一部中的星女郎是谁?	张截
长篇小说 钢铁是怎样炼成的 的苏联作家是?	奥斯特洛夫斯基
世界最长山脉是?	安第斯山脉
天下谁人不识君J 的上一句是7	莫愁前路无知 己
三个火枪手  侠盗罗宾汉的作者是哪位法国作家?	大忡马
大珠小珠落玉盘J 出 自 白居易的?	(琵琶行
任意多边形外角和是多少度7	360度
世界上最高的山峰海拔约多少米7	8848
孟郊的 游子吟 中′ 慈母手中线 下_句是什么?	游子身上衣
歌曲 一剪悔 的原唱是7	费玉清
大连市属于哪个省份?	辽宁省
下面那些物体不是 自发光7	月亮
在金膺小说中道号是长春子的道士叫什么?	丘处机
全程马拉松的距离是多少公里?	42
我们常用哪种动物的尾巴来表示女生头发全部向后扎起?	马尾
庄生晓梦迷蝴蝶J 的下一句是7	望帝春心托杜鹃
与成语 望悔止渴J 有关的历史人物是?	曹操
上海市著名 的景点东方明珠屹立在哪条江畔?	黄浦江
在春秋时期成书′ 世界上最早的兵书之一的是?	孙子兵法
唐代铜官窑瓷器题诗′ 君生我宋生 的下_句是?	我生君已老
南非第一位 民选黑人总统是?	曼德拉
哪个月 份没有30号?	2月
下歹‖电影哪部不是姜文自导自演的2	天地英雄
广 州美食 云吞面J 中的 云吞J类似北方所说的唧种食物?	馄饨
比喻极大数重中极微小的数重` 微不足道的是以下哪个成语?	九牛_毛
日月月几时有) 把酒问舌天 出自那首词牌?	水调歌头
沙琪玛 是源自找国哪个民族的食品?	圆心
小说 水浒传 中′ 绰号 金枪手J 的是谁?	徐宁
萦砂壶原产地是我国江苏省哪_个县级市?	宜兴
诗句 曾经沧海难为水J 的下_句是?	除却巫山不是云
电视剧 三国演义 中, 青龙偃月刀 是蜀国哪位大将所用的兵器?	关羽
下列名人中′ 常彼网友昵称为 局座J 的是?	张召 忠
中国历史上第_个奴隶制王朝是7	复朝
好雨知时节J 的下一句是7	当春乃发生
碧螺春 属于哪种茶叶品种?	绿茶
明朝的开国皇帝是?	朱元璋
在商业活动中 与 零售 柑对的商业行为是什么?	批发
民间相传' 下地狱前过奈何桥时要噶什么汤?	孟婆汤
下列嘟个地区不在四川省境内?	重庆
水分子 (H20) 是由两个氢原子租_个什么原子组成?	氰原子
释迦摩尼佛J 的国藉是下列哪_国家?	古印度
1X1+2+15X2=?	33
蓬莱群岛是我国渤诲和哪个海的分隔线?	黄海
梁静茹的第_张个人专辑叫什么名字?	一夜长大
美人鱼 里的童鱼的扮演者是7	罗志祥
世界上国土面积最大的国家是?	俄罗斯
四边形的内角和等于多少度?	36o度
葫芦娃 中) 谁拥有千里眼和顺风耳的能力?	橙娃
通常状态下雪花呈几角形7	六角形
典故 精忠报国J 与哪位历史人物有关?	岳飞
北宋王朝的建立者是7	赵匡胤
小甜甜J 是哪位美国女歌手的外号?	布兰妮斯皮尔斯
被誉为 枸杞之乡 的是7	宁夏
电脑显示图像的单位 像秦 常见的英文缩写是?	px
常用的设计软件PhotoShop是由哪个公司发售的?	Adobe
网络爆红姿势 葛优躺 是出自哪部中国清景辜剧?	我爱我家
到2017年为止′ 世界著名田径运动员 尤塞恩樽尔特J 的百米极限纪录是?	g秒58
微信小程序正式上线于哪年7	2017
汉语词汇 落花有意J 的下一句是?	流水无情
西游记 中  沙和尚的法号叫什么?	悟净
在医学中′ 英文直译成盘尼酉林(Benzylpenici‖in) 又被称为什么	青藿素
三国时期著名政治家 军事家蕾操字J 什么?	孟德
我国电话号码查询和信息查询服务的电话是?	114
2016年g月25日正式落成启用的世界上最大单口径射电望眼镜位于哪个国家?	中国
电视剧 射雕萸雄传 和 神雕侠侣 中, 有 老顽重 称号的人是谁?	周伯通
需要紧急医疗救助时′ 拨打的急救电话号码是?	120
水上芭蕾又被称为?	自游泳
钻石商戴比尔斯的著名广告悟 钻石恒久远 的下一句是?	一颗永流传
澳门回归 的年份是?	1999
江西 的省会是7	南昌
囝棋袒患正 巾灾岫位 盲_ Hi?	天元
泰语 萨瓦迪卡J 的蕙思是?	你好
以俞伯牙′ 钟子期二人的友谊为题材的音乐名曲是?	高山流水
巴西的国旗没有哪种颜色7	红色
直角三角形中设直角边为a和b′ 斜边为c′ 根据勾股定理得出的等式是?	a2+b2_c
彼称为 杂交水稻之父J 的是?	袁隆平
哪项属于东北菜	小鸡炖蘑菇
同是天涯沦落人, 相逢何必曾相识 一句出自?	琵琶行
人民币纸币中 面额最大的是?	1oo元
美元最小的使用 单位为?	1美分
端午节吃粽子的习俗是为了纪念哪位伟人?	屈原
汪洙 神重诗 中的诗句 惟有读书高 的上_句是?	万般皆下品
泰山位于哪个省?	山东
系列电影 小时代 中四位女主角组成的团体是什么组合?	时代妲妹花
京剧脸诺色彩中红色_般代表忠勇侠义, 哪么黑色代衷什么?_	忠耿正直
一个气泡从湖底升到湖面过程中 下列嘟个说法正确?	逐渐变大
人体DNA的结构是7	双螺旋
歌剧 白毛女 中′ 欺压杨白劳和辜儿的地主名叫?	黄世仁
欧元的货币代码是?	EUR
rEXITJ 在建筑物中表示的意思是?	安全出口
诗句 身无彩凤双飞翼J 的下_句是?	心有灵犀_点通
喜马拉雅山位于哪个大州7	亚洲
以下咖个国家采用1 1ov至130V电压?	加拿大
(咏鹅 的作者是7	骆宾王
川菜 蚂蚁上树J 的做法是肉末炒什么?	粉丝
下列哪种糖类不能彼再分解成单糖?	果糖
一吨等于多少千克?	1000干克
绿野仙踪 里 哪位主角希望得到的是勇气和胆量?	狮子
韩国历史上第一位女总统是7	朴槿惠
下列菜系中哪一个不是暮菜7	麻婆豆腐
白天时间最长的一个节气是7	夏至
泰国大部分国民信奉什么宗教?	佛教
谚语 朝霞不出门J 的下一句是7	晚雇行千里
我国的根本大法是?	宪法
月球上睾大的环形山是以美国的_项登月肮天计划而命名的 它叫做?	阿波罗环形山
冒蛙常用什么器官来捕食昆虫?	舌头
塑料在自然界可停留多少年了	100一200年
锌元累的化学符号是?	Zn
下列哪项不属于公害范围7	贩毒
下列选项中届于蒙古男  L三艺的是?	摔跤
小小竹排江中流 巍巍言山两岸走 衷现的是下列哪种物理现象?	相对运动
我们常用 哪种食物表示非常小的九品 官职?	芝麻
三国演义 中身死落凤坡的人物是谁?	庞统
U L童散学归 来早J 的下一句是?	忙趁东风放纸鸢
俯首甘为孺子牛J 的上一句是7	懂眉冷对千夫指
以下雇于蒲松龄写的小说是7	聊斋志异
回归年的参考点是恒星和 什么?	喜分点
人之初′ 性本善, 性相近 习相远J 的下_句是?	苟不教
医疗中′ 下列哪种物质被用于洽疗胃酸过多?	烧碱
白毛浮绿水J 的下_句是?	红掌拨清波
典故 将相和 中  将J 和相J 非别指的是?	taxman
历史上秦朝实行的官制制度是?	太平洋
两情若是长久时, 又岂在猪猪肉肉 是唧位动漫人物的名言?	麦兜
袁隆平院士培盲的杂交水稻利用 了哪种特性?	基因的多样性
北京话里 跌份 是指?	丢脸
哪种结构因为最具稳定性而被用于自行车车架的设计?	三角形
电视剧 水浒传 中 被称为 及时雨 的是?	关胜
中国封建社会产生过诸多盛世 出观在唐代的是?	贞观之治
国内唯_的_座火锅博物馆位于哪个城市?	重庆
在动谩 喜羊羊与灰太狼 中, 片尾结束时灰太狼常说的是哪句话?	我一定会回来的
童话作家安徒生是哪个国家的人?	丹麦
崛害让广的皋名斗	野朦靳立叻
贫血时弓 _发症状的王要原因是?	′红血球含I过低
老虎 伍兹是哪个体盲项目的超级巨星?	高尔夫
百里屠苏J  风晴雪 是哪部电视剧中的角色?	古剑奇诣
成语 君子一言J 的下_句是?	驷马难追
名句 黄发垂髻 并怡然自乐 出自以下唧部典藉?	桃花源记
我国最常见的贫血类型是?	缺铁性贫血
长江入海口在中国哪个城市?	上海
动画片 海绵宝宝 中′ 诲绵宝宝的房子是哪种水果?	菠萝
被誉为 天下第_行书 的是?	兰宇序
十二星座J 不包括?	天马座
广一 ___ ___ 邝 硐	捷豹
许秦熹执导的电影 危险关系中 交际花莫婕妤的扮演者皇?	张柏芝
电影 夏洛特烦恼 中的女主角是?	马冬梅
2015年宣布退役的传奇中国跨栏选手是?	刘翔
代表作有 不见不散  你快回来 的内地实力派男歌手是谁?	孙楠
内人J 是古代对谁的称呼?	妻子
我要那个那个那个那个那个那个那个啊 是哪个乐队的歌曲?	花L乐队
下列哪种食品含丰言的碘元素?	海带
香港在哪_年回归 中国?	1997年
诗句 空山新雨后J 的下一句是?	天气晚来秋
味情的化学成分是?	谷氨酸钠
中国军队中 下列指挥官级别最高的是?	司令
圭J 字的读音为?	gui
剪刀手爱德华 里的主角曾做过哪项工作?	理发师
经典卡通形象 米老鼠 和 唐老鸭 是由唧位艺术家创作的?	迪斯尼
糖尿病与下列哪_种激素直接相关?	胰岛素
爱情公寓 中曾小贤赢得的奖金是多少?	五百万
音乐之城 指的哪个城市?	崔莺莺
下列汽车品牌中  由中国 自主创造的是?	比亚迪
周星驰版 大话西游 中唐憎的扮演者是?	地中海气候
世界三大男高音J 中的多明戈和卡雷拉斯是哪国人?	西班牙
动画电影西游记之大圣归来中引用了歌手汪峥的哪首歌作为插曲?	勇敢的心
已知世界上体型熹小的鸟是?	蜂鸟
名著战争与和平讲述的是哪场战争?	法俄战争
淼的读音是?	miao
获得第26届香港电影金像奖最佳男主角奖的是?	删藿云
周杰伦的第丁张个人专辑叫什么名字?	JAY
在上诲方言中′阿拉上诲人中的阿拉指什么意思?	我/我们
维也纳爱乐乐团的常驻地是哪个著名的音乐厅?	金色大厅
代表着淘宝卖家的等级′除了红挑心钻石外,还有什么图案?	皇冠
天马流星拳J是哪部动谩里的招式?	圣斗士星矢
预言2012年为世界末日的古文明是?	玛雅
冒白尼最重要的贡献是提倡哪种学说?	El心说
歌词为什么不喝啤酒,因为啤酒伤身体出自歌手周杰伦的哪首歌?	牛仔很忙
代表作有不见不散你快回来的内地实力派男歌手是谁?	孙楠
下列歌曲不由周杰伦原唱的是?	刚刚好
成吉思汗的孙子忽必烈逞立的是唧个朝代?	元朝
糖尿病是唧个身体器官功能受损导致的?	胰腺
五花马千金裘呼儿将出换美酒出自哪位诗人的哪部作品?	李白将迸酒
在世界四大洋中面积最大的是?	太平洋
由小说冰与火之歌改编的热门电视剧是?	权力的游戏
艺术体操的主要项目有绳操球操圈操`棒操和哪种操?	带操
历史上唐太宗李世民时期的年号是?	嘉庆
电视剧水浒传中被称为及时雨J的是?	宋江
美元昌小的使用单位为?	1美分
蜀泰`苞谷是哪种常见农作物的别称?	玉米
北斗七星连成的形状类似于?	勺子形
知名的威士忌皇家礼炮是为了向哪位女性致敬而酿制的?	伊丽莎白
著名品牌李维斯J是以发明了哪种服饰而闻名的?	牛仔裤
中华人民共和国国歌又名为?	义勇军进行曲
苏轼名词赤壁怀古中的羽扇纶巾,谈笑间′档撸灰飞烟灭指的罡?	周瑜
故人西辞黄鹤楼′烟花三月下扬州是李白送别谁的诗作?	孟浩然
下列哪_项不属于人体八大系统之_?	思维系统
曾经做过著名的风筝实验′并发明了避雷针的是?	本杰明宫兰克林
英雄故事狼牙山五壮士J发生的历史时期是?	抗日战争
下列历史人物中哪位不居于唐宋八大家?	杨万里
地球上最早的生命形式是?	单细胞生物
历史上的三国指的是魏国′蜀国和?	义勇军进行曲
三国时期东吴的君王是?	孙权
战国时期′李冰父子治理水患修建的都江堰在我国哪个省份?	四川
下列哪种病是长期缺乏维生素C导至的?	坏血病
平年和闰年以什么区分?	天数
权力的游戏中北境史塔克家族的城堡叫做?	临冬城
西游记中授予孙悟空七十二变的是?	菩提祖师
葡萄糖的物质状态是?	无色晶体
中国境内面积最大的湖泊是?	青海湖
物理上′_百万分之_亳米等于哪个长度单位?	纳米
请问金狮奖是什么电影节的奖项?	威尼斯电影节
坐地日行八万里J中的地是指哪里?	赤道
劝学篇中无以至千里的上_句是什么?	不积踵步
广东菜J又被称为什么菜?	粤菜
韩愈师说中闾道有先后J的下_句是?	术业有专攻
TVB电视剧使徒行者里的终极鏖底是谁7	覃欢喜
下列故事典故不是出自三国演义的是?	三打祝家庄
晋朝人车胤在袋子里装什么昆虫用来照明看书?	萤火虫
被称为日光城J的城市是?	拉萨
家庭称谓中,通常哥冒的老婆称呼为什么?	嫂子
相逄何必曾相识J的上一句是?	同是天涯沦落人
请问以下哪项不是张杰的专辑?	依然爱你
理想国的作者是?	柏拉图
导演迈克尔贝执导的电影变形金刚中霜天虎的首领叫什么?	咸震天
内人J是古代对谁的称呼?	妻子
创办情武门的中国清末爱国武术家是?	雷元甲
下列哪个汽车品牌不是El本品牌?	雪铁龙
1只蛤蟆四条腿36只蛤蟆几条腿苔	144
小米手机的创始人是?	雷军
海贼王中谁是要成为诲贼王的男人?	路飞
电视剧笑傲江湖中风清扬传授给令狐冲的剑法是?	独孤九剑
卧薪尝胆J是哪位历史人物的故事?	勾践
PM2.5是监测空气中哪种物质的指标?	空气中的细颗粒物
东风不与周郎便′铜雀春深锁二乔中涉及到的战役是?	赤壁之战
川菜蚂蚁上树J的做法是肉末炒什么?	木苴
目前非常流行的多人竞技游戏绝地求生常被玩家昵称为?	吃鸡
呼伦贝尔位于唧个省?	内蒙古自洽区
我们穿的羽绒服里填充的大部分是鹅绒或是唧种家禽的绒毛?	鸭子
西方节曰复活节J是为了纪念谁的复活?	耶稣
手机聊天软件微信J的开发商是?	腾讯
中髁小说者人与蔺朐作薯号7	海明威
发现行星运动定律的天文学家是?	开普勒
我国历史上疆域最大的是哪个朝代?	元朝
千里之行始于足下J这句话是谁说的?	孙子
电视剧三国演义中′西蜀五虎上将中没有谁?	魏延
中国有多少个民族?	55
在细胞结构中被称为遗传信息中心J的结构是?	细胞核
著名笑星′最常与郭达搭档演出小品的女演员是?	蔡明
唐国公李渊称帝建立唐朝在?	长安
有朋自远方来不亦乐乎J出自哪本书?	论语
人体心脏所有的心房和心室加起来总共有几个腔室?	4个
郁金香是下列哪个国家的国花?	荷兰
西汊文字成就中)昌为突出的是?	赋和乐府诗
回眸一笑百媚生J的下一句是?	六宫粉黛无颜色
书圣王羲之的哪幅作品被称为夭下第_行书?	兰亭序
斜插在水中的筷子变弯了是由于光的哪种现象造成的?	辐射
著名的特洛伊之战传说起因是双方为了争夺_个美女这位美女是?	沙织
罗马数字中的XJ表示阿拉伯数弓中的?	10
人之初′性本善性相近习相远的下_句是?	苟不教
歌曲一剪梅的原唱是?	费玉清
北京话里′下列哪个词是_种手工艺工序?	掐丝儿
清明上河图的作者是?	张择端
下列哪种物品日常中常用于伤口消毒?	碘伏
著名香水古龙水J发源地是德国的哪个城市?	科隆
由英达寻演宋丹丹梁天`关凌等主演的中国第_部室内情景剧是?	我爱我家
据史书所记载′三国名将张飞是怎么死的?	部下所杀
氧气的化学式是?	02
月相的形成原因是月壳绕着什么星体旋转?	地球
路谩谩其修远兮吾将上下而求索出自哪部作品?	离骚
飞流直下三干尺J的下一句是?	疑是银河落九天
rSOSJ求救信号是在哪次沉船事1后得到了广泛使用?	藿翼旦尼宪号
DC漫画蜗蝠侠中蝙蝠侠的本名是?	布鲁斯维恩
_一_腈蹴序IF:崎琶翼霍7	成功
爱情公寓中曾小贤赢得的奖金是多少?	五丽
小乔是三国时期谁的夫人?	周瑜
1'1X0.01=?	0.011
本草纲目是古代哪位医者的苔作?	李时珍
股票交易中常提到的术语_手是指多少股?	100股
网红皮皮虾J的学名叫什么?	虾站
三国时期名将吕布使用的武器叫什么?	Em
鲁迅的故乡是?	绍兴
三江源位于我国唧个省?	育海簧
农历二月二的民间描述说法是?	龙抬头
_个数的绝对值是该数所对应的点与什么的距离?	原点
历史上唧位皇帝死后立下无字碑J以让后人评说?	武则天
书法家王羲之所作,有天下第_行书之称的作品是?	兰亭集序
cm可表示下列哪一长度单位?	厘米
低盐饮食有利于预防唧种疾病?	高血压
会当凌绝顶J的下_句是?	一览众山小
新疆的省{	乌鲁木齐
